,Treatment,Rep,BenchID,final_ext,position,n,prop_LJ01,prop_LJ02,prop_LJ03,prop_LJ04,prop_LM01,prop_LM02,prop_LM03,prop_LM04,prop_LM05,prop_LM06,raft.z,SLA.z,root.z,growth.z,GenNo,Simpson,InvSimpson,CI_freq,CIup_diff,CIlow_diff,sig_LJ01,sig_LJ02,sig_LJ03,sig_LJ04,sig_LM01,sig_LM02,sig_LM03,sig_LM04,sig_LM05,sig_LM06,CI_raftUP,CI_raftLOW,CI_SLAUP,CI_SLALOW,CI_rootUP,CI_rootLOW,CI_growthUP,CI_growthLOW,CIdiff_raftUP,CIdiff_raftLOW,CIdiff_SLAUP,CIdiff_SLALOW,CIdiff_rootUP,CIdiff_rootLOW,CIdiff_growthUP,CIdiff_growthLOW,LJ01_diff,LJ02_diff,LJ03_diff,LJ04_diff,LM01_diff,LM02_diff,LM03_diff,LM04_diff,LM05_diff,LM06_diff,LJ01_sigdiff,LJ02_sigdiff,LJ03_sigdiff,LJ04_sigdiff,LM01_sigdiff,LM02_sigdiff,LM03_sigdiff,LM04_sigdiff,LM05_sigdiff,LM06_sigdiff,SLA_diff,root_diff,raft_diff,growth_diff,div_diff
22,C,18,3,60,EDGE,10,0.1,0,0,0.2,0.1,0,0,0,0.6,0,-0.251425640025711,0.450731816128929,-0.741230819020907,0.258583444645112,4,0.58,1.72413793103448,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,0.1,0,0,0.2,0.01,-0.27,0,-0.27,0.33,-0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.612996290283468,-0.682494011857298,0.392978275279989,0.0543025233754744,0.180330578512397
24,C,23,1,152,EDGE,10,0,0,0.1,0.3,0,0.4,0,0.2,0,0,0.304504386300858,-0.300796721345664,0.0735693342251282,-0.351960799655843,4,0.7,1.42857142857143,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,-0.27,0,-0.45,0.12,0,0.4,0,0.2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.272231571110521,0.50928964918427,-0.538888954930699,0.0984053664343876,-0.10495867768595
26,C,24,1,155,EDGE,15,0,0.07,0.07,0,0.4,0,0.2,0.27,0,0,-0.14395514686674,-0.0373593688122376,1.10547813024629,-0.359430988056703,5,0.72,1.38888888888889,0.346666666666667,0.366833333333337,-0.266666666666667,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571783809686367,-0.523361093807932,0.524927537635153,-0.576131096172038,0.555863784157437,-0.481299022560623,0.588995623913865,-0.555475547756162,0.823279290089911,-0.77490313456361,0.802200650587574,-0.808360965896456,0.750262179942812,-0.717274639757996,0.751807422394118,-0.795263806841422,-0.44,0.07,0.07,0,0.4,0,0.14,0.27,-0.5,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.851055592430979,2.14130271341168,0.0789755875274057,-1.45553747841348,-0.1653125
28,C,25,2,100,EDGE,14,0.14,0.14,0.07,0.5,0,0.14,0,0,0,0,1.06892214042908,0.0379552306427653,-0.0733715671976402,-0.265479003168977,5,0.683673469387755,1.46268656716418,0.367910714285715,0.357142857142857,-0.285714285714286,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.51247928565692,-0.53333165026471,0.540170835420461,-0.582819060449183,0.526625341765123,-0.547313185461876,0.604964690807871,-0.559815200473007,0.744449370217997,-0.790244754677742,0.801526495831019,-0.780175947980468,0.838256735327608,-0.833863482074149,0.759460603047471,-0.815769200368504,0.14,0.14,-0.33,0.43,-0.13,0.07,0,0,0,-0.33,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.236992571711191,0.19416766758664,0.998802322964228,0.221519817579312,0.0185487528344671
30,S,1,3,31,EDGE,8,0.13,0,0.13,0.63,0,0.13,0,0,0,0,1.24969717562005,0.324820731336253,-0.142629580223553,-0.558683897902683,NA,NA,NA,0.5,0.437812500000007,-0.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.758161795341258,-0.712154395258229,0.709901383341762,-0.731736974669623,0.792131107720352,-0.660591313563123,0.770363178838561,-0.71570600108588,1.02844435840386,-0.967464910534439,1.08178397507789,-1.08271320947813,1.02602769904127,-0.975263375173221,1.00560228473099,-1.08640961118258,-0.07,0,-0.37,0.63,0,0.13,0,0,-0.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.411839873543852,0.669797368692639,1.19382481127605,-0.379112061343581,NA
32,S,2,2,27,EDGE,10,0.1,0.1,0,0.1,0.1,0.5,0,0.1,0,0,0.173204329798287,-0.445573947893479,0.0300605881780099,0.316046432344025,6,0.7,1.42857142857143,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,-0.07,0.1,-0.67,0.1,0.1,0.5,-0.08,0.1,-0.08,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.183109078977949,0.56545548499055,-0.115376432486773,0.9704062047654,-0.186111111111111
34,S,3,5,21,EDGE,15,0.07,0,0.07,0.13,0.33,0.13,0,0.13,0.13,0,0.214633688123872,0.0127485231687408,0.409575513925376,-0.0535842360292353,7,0.808888888888889,1.23626373626374,0.346666666666667,0.366833333333337,-0.266666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571783809686367,-0.523361093807932,0.524927537635153,-0.576131096172038,0.555863784157437,-0.481299022560623,0.588995623913865,-0.555475547756162,0.823279290089911,-0.77490313456361,0.802200650587574,-0.808360965896456,0.750262179942812,-0.717274639757996,0.751807422394118,-0.795263806841422,0.07,0,-0.3,0.02,0.33,0.13,0,0.13,0.02,-0.42,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0203608149866537,1.06319553976959,0.357471387787372,0.359000015648961,-0.144068944290551
36,S,5,1,16,EDGE,13,0.15,0,0.31,0.23,0.23,0.08,0,0,0,0,0.800371620747688,-0.00462053769175239,0.108059903818845,-0.385720304928954,5,0.769230769230769,1.3,0.384615384615385,0.384615384615385,-0.307692307692308,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.580750249685472,-0.597350788723704,0.556879029615913,-0.584574407990358,0.619018402458139,-0.626214079689006,0.645491686338999,-0.57587306662685,0.795160448273779,-0.824144237311456,0.809331912182234,-0.775302884982274,0.927230708372341,-0.813689615322457,0.759796066917966,-0.851032373108187,0.15,0,0.23,0.08,-0.15,0,-0.15,-0.15,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0903010494375737,-0.712396386413319,0.597471129113932,0.0571756727604206,0
38,S,7,4,18,EDGE,5,0,0,0.6,0.2,0.2,0,0,0,0,0,0.717959883254382,-0.415767547955473,0.0783157428848144,-1.12052826012881,NA,NA,NA,0.6,0.6,-0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.01450245741974,-0.902618047686658,0.896738080821685,-1.02161929762908,0.947996246258467,-0.920051765274564,0.991236537806259,-0.89803875463208,1.4531005182803,-1.29693725963756,1.2955091724884,-1.35719412641032,1.41377714939562,-1.32387225870007,1.32164871707501,-1.35073935459759,-0.09,0,0.33,0.2,0.02,-0.18,0,-0.18,0,-0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.143615365084553,-0.118541556275649,0.663400519331339,-0.962792358895294,NA
40,S,9,2,17,EDGE,9,0.56,0,0,0.11,0,0,0.22,0.11,0,0,0.469607222894054,1.02530243603712,-0.198637202407844,0.829621884903066,NA,NA,NA,0.43338888888889,0.333333333333333,-0.444444444444444,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73196677444223,-0.654017066072879,0.656410352703902,-0.724199756105661,0.745504784226044,-0.676923573916417,0.701627070288992,-0.715294482293764,1.02145546281073,-0.943699755645988,1.05204285025548,-0.922350221246476,0.95678589192455,-1.04397917693211,1.0295451962722,-0.957915985911401,0.46,0,-0.1,0.01,0,-0.1,0.02,-0.29,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.890199224925327,-0.672487000266462,0.695890298933959,1.10975394993527,NA
42,S,10,5,31,EDGE,9,0,0.11,0.33,0.22,0,0.33,0,0,0,0,0.486452741104053,-0.653942538928625,-0.244084065324334,-0.542019631469999,NA,NA,NA,0.43338888888889,0.333333333333333,-0.444444444444444,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73196677444223,-0.654017066072879,0.656410352703902,-0.724199756105661,0.745504784226044,-0.676923573916417,0.701627070288992,-0.715294482293764,1.02145546281073,-0.943699755645988,1.05204285025548,-0.922350221246476,0.95678589192455,-1.04397917693211,1.0295451962722,-0.957915985911401,0,0.11,0.33,0.22,0,0.33,0,-0.22,0,-0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.01058672899687,0.0637996430672746,1.31448118214645,-0.842263742196822,NA
44,S,11,3,23,EDGE,15,0.13,0,0.13,0.07,0.2,0,0.07,0,0.07,0.33,-0.0164823474879325,0.378022828891104,-0.172611061590567,0.116362550090301,7,0.8,1.25,0.346666666666667,0.366833333333337,-0.266666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571783809686367,-0.523361093807932,0.524927537635153,-0.576131096172038,0.555863784157437,-0.481299022560623,0.588995623913865,-0.555475547756162,0.823279290089911,-0.77490313456361,0.802200650587574,-0.808360965896456,0.750262179942812,-0.717274639757996,0.751807422394118,-0.795263806841422,0.02,0,-0.31,-0.21,0.2,0,0.07,-0.17,0.07,0.33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.504701194211461,-0.174588731865437,-0.681363484415211,0.898577470141758,-0.114814814814815
46,S,12,5,20,EDGE,16,0.19,0.13,0.13,0.06,0,0.5,0,0,0,0,0.29296674290275,-0.50010623516994,-0.400478230660976,0.404108460992611,5,0.6796875,1.47126436781609,0.353171875000001,0.281406250000003,-0.3125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.536461999238839,-0.528735898838677,0.502236776644917,-0.504759002094449,0.504658192609313,-0.492032003948193,0.54589838313968,-0.511723617994522,0.74299332134345,-0.681882922808609,0.712793228766181,-0.733037164320511,0.740952709138505,-0.733826915929368,0.774908590951463,-0.682485211322447,0.09,0.13,-0.17,-0.19,-0.05,0.4,-0.05,-0.05,-0.05,-0.05,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.514990334668281,-0.221301303757844,-0.180551545795585,0.878178109508644,0.1353125
48,S,13,5,17,EDGE,10,0,0.9,0.1,0,0,0,0,0,0,0,0.438598060930953,-1.80917438777349,0.42005716638218,0.0861944815483709,2,0.18,5.55555555555556,0.42,0.4,-0.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364,-0.36,0.9,-0.45,0,0,0,0,0,0,-0.09,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.83952727654033,1.02237642529629,-0.115655794220747,0.10989796397417,0.38198347107438
