,Treatment,Rep,BenchID,final_ext,position,n,prop_LJ01,prop_LJ02,prop_LJ03,prop_LJ04,prop_LM01,prop_LM02,prop_LM03,prop_LM04,prop_LM05,prop_LM06,raft.z,SLA.z,root.z,growth.z,GenNo,InvSimpson,CI_freq,CIup_diff,CIlow_diff,sig_LJ01,sig_LJ02,sig_LJ03,sig_LJ04,sig_LM01,sig_LM02,sig_LM03,sig_LM04,sig_LM05,sig_LM06,CI_raftUP,CI_raftLOW,CI_SLAUP,CI_SLALOW,CI_rootUP,CI_rootLOW,CI_growthUP,CI_growthLOW,CIdiff_raftUP,CIdiff_raftLOW,CIdiff_SLAUP,CIdiff_SLALOW,CIdiff_rootUP,CIdiff_rootLOW,CIdiff_growthUP,CIdiff_growthLOW
26,C,24,1,155,EDGE,15,0,0.07,0.07,0,0.4,0,0.2,0.27,0,0,-0.14395514686674,-0.0373593688122376,1.10547813024629,-0.359430988056703,5,1.38888888888889,0.346666666666667,0.366833333333337,-0.266666666666667,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571783809686367,-0.523361093807932,0.524927537635153,-0.576131096172038,0.555863784157437,-0.481299022560623,0.588995623913865,-0.555475547756162,0.823279290089911,-0.77490313456361,0.802200650587574,-0.808360965896456,0.750262179942812,-0.717274639757996,0.751807422394118,-0.795263806841422
27,C,25,2,100,CORE,15,0,0,0.4,0.07,0.13,0.07,0,0,0,0.33,0.0701198174648472,-0.199037341068425,-0.26753923478428,-0.48699882074829,5,1.42405063291139,0.346666666666667,0.366833333333337,-0.266666666666667,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571783809686367,-0.523361093807932,0.524927537635153,-0.576131096172038,0.555863784157437,-0.481299022560623,0.588995623913865,-0.555475547756162,0.823279290089911,-0.77490313456361,0.802200650587574,-0.808360965896456,0.750262179942812,-0.717274639757996,0.751807422394118,-0.795263806841422
28,C,25,2,100,EDGE,14,0.14,0.14,0.07,0.5,0,0.14,0,0,0,0,1.06892214042908,0.0379552306427653,-0.0733715671976402,-0.265479003168977,5,1.46268656716418,0.367910714285715,0.357142857142857,-0.285714285714286,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.51247928565692,-0.53333165026471,0.540170835420461,-0.582819060449183,0.526625341765123,-0.547313185461876,0.604964690807871,-0.559815200473007,0.744449370217997,-0.790244754677742,0.801526495831019,-0.780175947980468,0.838256735327608,-0.833863482074149,0.759460603047471,-0.815769200368504
29,S,1,3,31,CORE,10,0.2,0,0.5,0,0,0,0,0,0.3,0,0.0558723643440035,-0.0870191422075989,-0.812426948916192,-0.179571836559102,3,1.61290322580645,0.42,0.4,-0.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
30,S,1,3,31,EDGE,8,0.13,0,0.13,0.63,0,0.13,0,0,0,0,1.24969717562005,0.324820731336253,-0.142629580223553,-0.558683897902683,NA,NA,0.5,0.437812500000007,-0.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.758161795341258,-0.712154395258229,0.709901383341762,-0.731736974669623,0.792131107720352,-0.660591313563123,0.770363178838561,-0.71570600108588,1.02844435840386,-0.967464910534439,1.08178397507789,-1.08271320947813,1.02602769904127,-0.975263375173221,1.00560228473099,-1.08640961118258
31,S,2,2,27,CORE,12,0.17,0,0.67,0,0,0,0.08,0,0.08,0,0.28858076228506,-0.26246486891553,-0.53539489681254,-0.654359772421374,4,1.94594594594595,0.404270833333336,0.416666666666667,-0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.641251782804912,-0.573011837664438,0.599722324051845,-0.635205921519626,0.63724656402686,-0.582984235860138,0.629848216731062,-0.561461275641466,0.89526733966586,-0.868407864484787,0.929588542913497,-0.860914599022707,0.913560062597309,-0.898414404408936,0.873916271254309,-0.88035092873101
32,S,2,2,27,EDGE,10,0.1,0.1,0,0.1,0.1,0.5,0,0.1,0,0,0.173204329798287,-0.445573947893479,0.0300605881780099,0.316046432344025,6,1.42857142857143,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
33,S,3,5,21,CORE,19,0,0,0.37,0.11,0,0,0,0,0.11,0.42,-0.1428376996635,-0.0076122918179129,-0.65362002584421,-0.412584251678196,4,1.50416666666667,0.310526315789474,0.263157894736842,-0.236973684210526,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.469585168381401,-0.458373937280955,0.440823695889974,-0.515603246263443,0.489462984239164,-0.45591024670737,0.476101645613944,-0.491979576425482,0.6838850924799,-0.622057910194464,0.661691301288281,-0.695774220978653,0.638756272409933,-0.721651883299706,0.716444372124365,-0.657799990763878
34,S,3,5,21,EDGE,15,0.07,0,0.07,0.13,0.33,0.13,0,0.13,0.13,0,0.214633688123872,0.0127485231687408,0.409575513925376,-0.0535842360292353,7,1.23626373626374,0.346666666666667,0.366833333333337,-0.266666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571783809686367,-0.523361093807932,0.524927537635153,-0.576131096172038,0.555863784157437,-0.481299022560623,0.588995623913865,-0.555475547756162,0.823279290089911,-0.77490313456361,0.802200650587574,-0.808360965896456,0.750262179942812,-0.717274639757996,0.751807422394118,-0.795263806841422
35,S,5,1,16,CORE,13,0,0,0.08,0.15,0.38,0.08,0.15,0.15,0,0,0.202900491633756,0.0856805117458213,0.820456290232163,-0.442895977689374,6,1.3,0.384615384615385,0.384615384615385,-0.307692307692308,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.580750249685472,-0.597350788723704,0.556879029615913,-0.584574407990358,0.619018402458139,-0.626214079689006,0.645491686338999,-0.57587306662685,0.795160448273779,-0.824144237311456,0.809331912182234,-0.775302884982274,0.927230708372341,-0.813689615322457,0.759796066917966,-0.851032373108187
